Date,wjb
20080101,102
20080102,90.8
20080103,79.8
20080104,71.8
20080105,71.4
20080106,79.7
20080107,76.7
20080108,71.9
20080109,68.6
20080110,67.1
20080111,68.7
20080112,72.9
20080113,77.8
20080114,83.4
20080115,89
20080116,93.8
20080117,98.3
20080118,103
20080119,107
20080120,110
20080121,111
20080122,108
20080123,103
20080124,94.8
20080125,89.9
20080126,88.1
20080127,88.3
20080128,89.7
20080129,91.6
20080130,94
20080131,96.4
20080201,99.2
20080202,101
20080203,99.9
20080204,99.3
20080205,99.6
20080206,100
20080207,102
20080208,106
20080209,113
20080210,121
20080211,125
20080212,125
20080213,122
20080214,119
20080215,115
20080216,110
20080217,105
20080218,99.3
20080219,94.2
20080220,88.5
20080221,82.2
20080222,76.3
20080223,71.1
20080224,67
20080225,64.3
20080226,63.9
20080227,65.2
20080228,67.2
20080229,70
20080301,72.9
20080302,77.3
20080303,82
20080304,82.2
20080305,78.3
20080306,74.5
20080307,79.4
20080308,90.9
20080309,101
20080310,104
20080311,99.7
20080312,91.6
20080313,82
20080314,76.4
20080315,77.5
20080316,80.9
20080317,84.8
20080318,88.3
20080319,91.2
20080320,93.3
20080321,94.8
20080322,93.5
20080323,88.9
20080324,82.5
20080325,74.6
20080326,65.8
20080327,56.9
20080328,47.3
20080329,41.3
20080330,41.5
20080331,44.2
20080401,46.6
20080402,45.4
20080403,43.1
20080404,42.2
20080405,42
20080406,43.8
20080407,49.1
20080408,62.1
20080409,238
20080410,348
20080411,279
20080412,262
20080413,232
20080414,196
20080415,167
20080416,143
20080417,123
20080418,106
20080419,100
20080420,831
20080421,2700
20080422,3020
20080423,2000
20080424,1250
20080425,849
20080426,609
20080427,468
20080428,434
20080429,392
20080430,312
20080501,243
20080502,208
20080503,202
20080504,270
20080505,535
20080506,669
20080507,549
20080508,435
20080509,349
20080510,306
20080511,286
20080512,266
20080513,250
20080514,232
20080515,217
20080516,203
20080517,190
20080518,177
20080519,164
20080520,150
20080521,138
20080522,128
20080523,122
20080524,120
20080525,120
20080526,123
20080527,132
20080528,144
20080529,156
20080530,162
20080531,161
20080601,160
20080602,155
20080603,145
20080604,132
20080605,116
20080606,98.7
20080607,87.1
20080608,147
20080609,118
20080610,101
20080611,96.1
20080612,96.7
20080613,100
20080614,106
20080615,116
20080616,132
20080617,157
20080618,165
20080619,159
20080620,149
20080621,148
20080622,292
20080623,499
20080624,498
20080625,440
20080626,358
20080627,283
20080628,235
20080629,208
20080630,185
20080701,165
20080702,152
20080703,151
20080704,152
20080705,185
20080706,233
20080707,249
20080708,271
20080709,341
20080710,485
20080711,669
20080712,626
20080713,527
20080714,464
20080715,422
20080716,388
20080717,364
20080718,343
20080719,326
20080720,311
20080721,296
20080722,292
20080723,529
20080724,2230
20080725,3960
20080726,4140
20080727,3570
20080728,2800
20080729,2190
20080730,1640
20080731,1130
20080801,902
20080802,769
20080803,996
20080804,1130
20080805,1070
20080806,954
20080807,889
20080808,781
20080809,618
20080810,519
20080811,463
20080812,414
20080813,355
20080814,384
20080815,750
20080816,1140
20080817,2300
20080818,4110
20080819,4020
20080820,3010
20080821,2030
20080822,1550
20080823,1210
20080824,956
20080825,771
20080826,603
20080827,491
20080828,430
20080829,401
20080830,527
20080831,1730
20080901,2660
20080902,2290
20080903,1620
20080904,1110
20080905,795
20080906,614
20080907,528
20080908,450
20080909,402
20080910,382
20080911,366
20080912,347
20080913,333
20080914,309
20080915,285
20080916,265
20080917,250
20080918,240
20080919,235
20080920,234
20080921,235
20080922,239
20080923,236
20080924,341
20080925,425
20080926,351
20080927,291
20080928,257
20080929,229
20080930,207
20081001,194
20081002,196
20081003,213
20081004,227
20081005,231
20081006,225
20081007,214
20081008,204
20081009,197
20081010,190
20081011,182
20081012,174
20081013,164
20081014,151
20081015,136
20081016,138
20081017,140
20081018,139
20081019,138
20081020,138
20081021,139
20081022,144
20081023,247
20081024,337
20081025,368
20081026,359
20081027,331
20081028,296
20081029,274
20081030,284
20081031,275
20081101,231
20081102,206
20081103,200
20081104,197
20081105,196
20081106,194
20081107,192
20081108,188
20081109,182
20081110,175
20081111,169
20081112,162
20081113,155
20081114,149
20081115,143
20081116,139
20081117,138
20081118,138
20081119,136
20081120,134
20081121,132
20081122,130
20081123,128
20081124,127
20081125,125
20081126,124
20081127,122
20081128,121
20081129,120
20081130,118
20081201,117
20081202,116
20081203,114
20081204,113
20081205,112
20081206,112
20081207,114
20081208,118
20081209,123
20081210,128
20081211,126
20081212,120
20081213,117
20081214,117
20081215,125
20081216,129
20081217,129
20081218,127
20081219,122
20081220,117
20081221,112
20081222,106
20081223,103
20081224,101
20081225,104
20081226,114
20081227,123
20081228,123
20081229,119
20081230,112
20081231,103
20090101,94.3
20090102,97.9
20090103,102
20090104,99.3
20090105,94.9
20090106,89.9
20090107,84.1
20090108,78.7
20090109,73.2
20090110,67.8
20090111,62.4
20090112,57.7
20090113,53.5
20090114,50.7
20090115,49.9
20090116,51.7
20090117,64.6
20090118,71.2
20090119,72.1
20090120,71.5
20090121,69.1
20090122,66.2
20090123,62.8
20090124,59.7
20090125,59.2
20090126,60.3
20090127,62.8
20090128,69.3
20090129,77.5
20090130,77.9
20090131,77.2
20090201,75.8
20090202,73.6
20090203,72.1
20090204,71.4
20090205,70.4
20090206,70.1
20090207,70.8
20090208,70.5
20090209,66
20090210,60.2
20090211,61.8
20090212,63.9
20090213,64.4
20090214,62.7
20090215,59.6
20090216,55.9
20090217,51.2
20090218,45.9
20090219,40.9
20090220,39
20090221,41.8
20090222,45.7
20090223,49.2
20090224,52.1
20090225,53.4
20090226,53.6
20090227,53.6
20090228,80.6
20090301,89.8
20090302,89.4
20090303,91.7
20090304,90.2
20090305,87.7
20090306,86.1
20090307,84.3
20090308,83.5
20090309,84.1
20090310,82.9
20090311,85.5
20090312,85.4
20090313,79.2
20090314,73.8
20090315,73.5
20090316,74
20090317,75.4
20090318,78.3
20090319,80.9
20090320,85.6
20090321,94.3
20090322,94.5
20090323,93
20090324,93
20090325,92.9
20090326,92.4
20090327,91.4
20090328,89.1
20090329,85.5
20090330,84
20090331,82.4
20090401,77.5
20090402,68.3
20090403,58.3
20090404,57.5
20090405,59.3
20090406,59.6
20090407,59.1
20090408,57.8
20090409,54.6
20090410,42.2
20090411,31.7
20090412,31.5
20090413,32.4
20090414,33.2
20090415,34
20090416,34.8
20090417,36
20090418,37.3
20090419,42.1
20090420,51.2
20090421,58.3
20090422,75.2
20090423,174
20090424,238
20090425,227
20090426,194
20090427,195
20090428,162
20090429,131
20090430,112
20090501,103
20090502,103
20090503,101
20090504,98
20090505,94.8
20090506,91.5
20090507,88.5
20090508,85.9
20090509,83.7
20090510,82.3
20090511,82
20090512,81.2
20090513,75.9
20090514,61.7
20090515,50.2
20090516,45.9
20090517,51.1
20090518,56.9
20090519,59.3
20090520,63.8
20090521,77.1
20090522,85.3
20090523,84.7
20090524,83.1
20090525,107
20090526,281
20090527,524
20090528,514
20090529,410
20090530,345
20090531,315
20090601,274
20090602,208
20090603,164
20090604,146
20090605,142
20090606,129
20090607,111
20090608,105
20090609,110
20090610,122
20090611,163
20090612,218
20090613,224
20090614,185
20090615,154
20090616,131
20090617,117
20090618,116
20090619,120
20090620,123
20090621,127
20090622,131
20090623,135
20090624,139
20090625,140
20090626,137
20090627,132
20090628,131
20090629,135
20090630,128
20090701,122
20090702,154
20090703,211
20090704,196
20090705,169
20090706,158
20090707,156
20090708,150
20090709,143
20090710,142
20090711,139
20090712,136
20090713,149
20090714,128
20090715,119
20090716,127
20090717,128
20090718,123
20090719,115
20090720,104
20090721,89.7
20090722,97.4
20090723,264
20090724,673
20090725,611
20090726,451
20090727,344
20090728,277
20090729,229
20090730,195
20090731,170
20090801,158
20090802,152
20090803,142
20090804,125
20090805,120
20090806,110
20090807,83.9
20090808,80.1
20090809,82.6
20090810,84.8
20090811,83.5
20090812,80
20090813,75.2
20090814,70.1
20090815,66.8
20090816,65.2
20090817,66.5
20090818,75.2
20090819,92.5
20090820,125
20090821,169
20090822,217
20090823,257
20090824,269
20090825,243
20090826,209
20090827,184
20090828,170
20090829,265
20090830,1200
20090831,2130
20090901,1930
20090902,1320
20090903,945
20090904,703
20090905,564
20090906,471
20090907,396
20090908,332
20090909,276
20090910,244
20090911,238
20090912,233
20090913,200
20090914,170
20090915,158
20090916,159
20090917,163
20090918,170
20090919,165
20090920,159
20090921,175
20090922,206
20090923,201
20090924,193
20090925,184
20090926,173
20090927,162
20090928,154
20090929,152
20090930,155
20091001,146
20091002,119
20091003,111
20091004,112
20091005,114
20091006,117
20091007,117
20091008,113
20091009,107
20091010,100
20091011,99.7
20091012,102
20091013,101
20091014,98.7
20091015,95.5
20091016,87.9
20091017,79.8
20091018,78.4
20091019,79.7
20091020,80.6
20091021,80.9
20091022,80.7
20091023,80.2
20091024,79.8
20091025,79.4
20091026,78.5
20091027,76
20091028,71.2
20091029,63.2
20091030,54
20091031,47.5
20091101,45.4
20091102,47.1
20091103,50.7
20091104,54.9
20091105,58.4
20091106,57.3
20091107,52.1
20091108,46.6
20091109,46.6
20091110,50.9
20091111,54.8
20091112,58.3
20091113,61.4
20091114,63.9
20091115,65.8
20091116,66.6
20091117,65.7
20091118,72.9
20091119,86.2
20091120,91.5
20091121,92.7
20091122,91.4
20091123,88.9
20091124,85.4
20091125,80.9
20091126,78
20091127,79
20091128,86.9
20091129,104
20091130,127
20091201,158
20091202,167
20091203,156
20091204,141
20091205,127
20091206,114
20091207,104
20091208,96.2
20091209,91
20091210,90.8
20091211,91.9
20091212,93.1
20091213,95.7
20091214,102
20091215,115
20091216,145
20091217,199
20091218,243
20091219,248
20091220,233
20091221,208
20091222,185
20091223,169
20091224,156
20091225,144
20091226,134
20091227,124
20091228,115
20091229,107
20091230,99.4
20091231,91.8
20100101,84.5
20100102,75.4
20100103,71.4
20100104,72.7
20100105,73.4
20100106,69.7
20100107,61.6
20100108,61
20100109,66.8
20100110,71.8
20100111,71.8
20100112,70.6
20100113,69.2
20100114,67.9
20100115,68
20100116,68.4
20100117,68.5
20100118,68.8
20100119,68.7
20100120,65.8
20100121,62.3
20100122,60.6
20100123,61.8
20100124,65.3
20100125,70.1
20100126,71.4
20100127,67.1
20100128,56.5
20100129,43.4
20100130,36.2
20100131,41.1
20100201,48.2
20100202,48.2
20100203,43.7
20100204,37.6
20100205,33.9
20100206,32.1
20100207,32.7
20100208,35.9
20100209,41.1
20100210,47.3
20100211,55.1
20100212,65.3
20100213,76.8
20100214,88.8
20100215,102
20100216,116
20100217,133
20100218,137
20100219,132
20100220,127
20100221,126
20100222,127
20100223,120
20100224,112
20100225,106
20100226,103
20100227,101
20100228,99.3
20100301,97.6
20100302,96.7
20100303,117
20100304,149
20100305,187
20100306,232
20100307,279
20100308,315
20100309,307
20100310,271
20100311,235
20100312,209
20100313,197
20100314,200
20100315,235
20100316,291
20100317,313
20100318,290
20100319,252
20100320,206
20100321,178
20100322,176
20100323,182
20100324,205
20100325,225
20100326,235
20100327,224
20100328,193
20100329,167
20100330,152
20100331,148
20100401,176
20100402,259
20100403,433
20100404,467
20100405,395
20100406,306
20100407,225
20100408,154
20100409,122
20100410,112
20100411,125
20100412,111
20100413,129
20100414,138
20100415,110
20100416,103
20100417,121
20100418,127
20100419,139
20100420,159
20100421,199
20100422,440
20100423,902
20100424,943
20100425,740
20100426,581
20100427,455
20100428,355
20100429,294
20100430,260
20100501,238
20100502,211
20100503,165
20100504,137
20100505,143
20100506,160
20100507,153
20100508,147
20100509,151
20100510,135
20100511,128
20100512,128
20100513,127
20100514,122
20100515,113
20100516,110
20100517,117
20100518,125
20100519,131
20100520,129
20100521,126
20100522,132
20100523,166
20100524,194
20100525,200
20100526,189
20100527,166
20100528,139
20100529,124
20100530,118
20100531,116
20100601,105
20100602,91.9
20100603,78.9
20100604,64.7
20100605,51.9
20100606,42.7
20100607,38.4
20100608,50
20100609,117
20100610,221
20100611,306
20100612,335
20100613,317
20100614,273
20100615,234
20100616,198
20100617,170
20100618,142
20100619,124
20100620,124
20100621,129
20100622,125
20100623,112
20100624,104
20100625,102
20100626,101
20100627,95.8
20100628,87.7
20100629,77.4
20100630,66.8
20100701,63.2
20100702,67.3
20100703,74
20100704,79.1
20100705,78.4
20100706,82
20100707,162
20100708,226
20100709,227
20100710,242
20100711,350
20100712,548
20100713,582
20100714,509
20100715,449
20100716,401
20100717,594
20100718,2070
20100719,3160
20100720,3810
20100721,4260
20100722,4030
20100723,3580
20100724,3490
20100725,3240
20100726,2480
20100727,1870
20100728,1430
20100729,1110
20100730,814
20100731,620
20100801,507
20100802,438
20100803,395
20100804,367
20100805,337
20100806,318
20100807,295
20100808,273
20100809,254
20100810,237
20100811,221
20100812,207
20100813,194
20100814,184
20100815,182
20100816,234
20100817,372
20100818,424
20100819,419
20100820,371
20100821,306
20100822,255
20100823,228
20100824,217
20100825,215
20100826,218
20100827,233
20100828,287
20100829,314
20100830,309
20100831,300
20100901,283
20100902,237
20100903,140
20100904,129
20100905,148
20100906,209
20100907,262
20100908,327
20100909,470
20100910,691
20100911,630
20100912,518
20100913,457
20100914,419
20100915,380
20100916,286
20100917,204
20100918,177
20100919,178
20100920,190
20100921,207
20100922,241
20100923,347
20100924,443
20100925,430
20100926,346
20100927,284
20100928,293
20100929,318
20100930,330
20101001,290
20101002,241
20101003,202
20101004,181
20101005,172
20101006,165
20101007,160
20101008,155
20101009,151
20101010,143
20101011,133
20101012,124
20101013,121
20101014,121
20101015,123
20101016,126
20101017,125
20101018,122
20101019,116
20101020,112
20101021,112
20101022,115
20101023,116
20101024,115
20101025,113
20101026,109
20101027,97.5
20101028,81.2
20101029,77.8
20101030,80.2
20101031,86.5
20101101,95.5
20101102,102
20101103,106
20101104,106
20101105,105
20101106,105
20101107,103
20101108,101
20101109,93.3
20101110,77
20101111,61.3
20101112,57.8
20101113,59.9
20101114,63.7
20101115,69.5
20101116,78.2
20101117,83.7
20101118,83.1
20101119,80.7
20101120,77.3
20101121,72.9
20101122,70.2
20101123,68.6
20101124,67.5
20101125,67.2
20101126,68.6
20101127,71.3
20101128,73.6
20101129,70
20101130,63
20101201,55.1
20101202,51.7
20101203,50.3
20101204,48.9
20101205,48.2
20101206,102
20101207,98.6
20101208,51.7
20101209,49.1
20101210,63.6
20101211,72.9
20101212,65.6
20101213,72.4
20101214,79.7
20101215,82.1
20101216,73.5
20101217,69.2
20101218,64.5
20101219,61
20101220,58.7
20101221,58.6
20101222,61.2
20101223,64.5
20101224,67.6
20101225,70.4
20101226,72.5
20101227,69.9
20101228,63.2
20101229,63.9
20101230,62.3
20101231,61.3
20110101,62.4
20110102,69.1
20110103,75.4
20110104,76.4
20110105,69.7
20110106,59.4
20110107,47.5
20110108,48.4
20110109,54
20110110,55.4
20110111,48.3
20110112,45.4
20110113,64.8
20110114,76.4
20110115,69.9
20110116,60.3
20110117,52.3
20110118,46.4
20110119,43.9
20110120,46.7
20110121,54.6
20110122,61
20110123,61.9
20110124,48.3
20110125,54.9
20110126,72
20110127,80.5
20110128,68.1
20110129,45.2
20110130,36.2
20110131,32.6
20110201,38.6
20110202,45
20110203,50.2
20110204,54
20110205,56.4
20110206,58.1
20110207,61.2
20110208,68.3
20110209,78.5
20110210,83
20110211,54.9
20110212,31.7
20110213,31.3
20110214,36.2
20110215,43.2
20110216,52.9
20110217,64.2
20110218,73.6
20110219,81.1
20110220,86.1
20110221,83.4
20110222,73.5
20110223,60.8
20110224,54.3
20110225,54.3
20110226,57.7
20110227,62.4
20110228,66.1
20110301,68.8
20110302,68.7
20110303,62.9
20110304,53.9
20110305,43.9
20110306,35.1
20110307,34.5
20110308,59.5
20110309,88.2
20110310,88.1
20110311,80
20110312,68.2
20110313,53.8
20110314,47.7
20110315,44.2
20110316,42.2
20110317,40.9
20110318,39.4
20110319,37.9
20110320,40.3
20110321,57.2
20110322,76.7
20110323,87.6
20110324,70.4
20110325,47.8
20110326,48.3
20110327,52.5
20110328,51.6
20110329,58.5
20110330,69.3
20110331,76.3
20110401,61.3
20110402,51.1
20110403,45.8
20110404,48.4
20110405,65.8
20110406,76.9
20110407,59.6
20110408,38.6
20110409,33.9
20110410,34.7
20110411,35.6
20110412,36
20110413,37.7
20110414,41.6
20110415,42.5
20110416,32
20110417,38.3
20110418,44.5
20110419,31.2
20110420,19.9
20110421,17.3
20110422,25.6
20110423,25.5
20110424,24.5
20110425,27.8
20110426,18.3
20110427,21.8
20110428,36.5
20110429,44.9
20110430,32.7
20110501,19
20110502,19.6
20110503,20.3
20110504,20.4
20110505,20
20110506,18.7
20110507,16.5
20110508,16.4
20110509,17.9
20110510,20.5
20110511,24.2
20110512,27.2
20110513,27.6
20110514,26
20110515,23.1
20110516,19
20110517,15
20110518,13.5
20110519,14.5
20110520,16.9
20110521,20.3
20110522,23.1
20110523,24.3
20110524,24.9
20110525,25.7
20110526,28.3
20110527,32
20110528,32.7
20110529,30.9
20110530,27.9
20110531,24.3
20110601,20.5
20110602,16.7
20110603,12.9
20110604,10
20110605,10
20110606,11.5
20110607,14.5
20110608,19.7
20110609,17.5
20110610,8.66
20110611,13.4
20110612,26.6
20110613,31.5
20110614,26.7
20110615,26
20110616,37.1
20110617,49.5
20110618,52.8
20110619,51.2
20110620,47.9
20110621,46.7
20110622,47.2
20110623,42.6
20110624,41.9
20110625,90.8
20110626,122
20110627,118
20110628,106
20110629,90.4
20110630,71
20110701,58
20110702,52.9
20110703,41.9
20110704,30.1
20110705,35.5
20110706,44.4
20110707,46.4
20110708,43
20110709,40.3
20110710,40
20110711,40.6
20110712,35.5
20110713,28
20110714,29.8
20110715,33.6
20110716,31.7
20110717,25.4
20110718,18.4
20110719,13.7
20110720,12.6
20110721,17.4
20110722,24.9
20110723,24.2
20110724,19.1
20110725,17
20110726,27.1
20110727,43.9
20110728,54.6
20110729,66.4
20110730,71.2
20110731,65.4
20110801,77.2
20110802,64.8
20110803,90.2
20110804,190
20110805,263
20110806,258
20110807,227
20110808,176
20110809,146
20110810,133
20110811,188
20110812,286
20110813,298
20110814,287
20110815,227
20110816,177
20110817,164
20110818,134
20110819,98.5
20110820,99.2
20110821,107
20110822,103
20110823,86.2
20110824,73.1
20110825,102
20110826,98
20110827,57.2
20110828,66.2
20110829,87.2
20110830,85
20110831,68.8
20110901,57.7
20110902,52.4
20110903,43.3
20110904,34.2
20110905,26.9
20110906,24.5
20110907,32.9
20110908,31.1
20110909,31.2
20110910,33
20110911,33.8
20110912,30.1
20110913,30.9
20110914,37.8
20110915,45.5
20110916,48.5
20110917,48.7
20110918,47.1
20110919,43
20110920,39.3
20110921,41.8
20110922,41.7
20110923,36.3
20110924,36.3
20110925,44.4
20110926,55.7
20110927,69.8
20110928,74.5
20110929,68.4
20110930,84.1
20111001,103
20111002,96.1
20111003,82.9
20111004,86.3
20111005,88.3
20111006,83.6
20111007,73.3
20111008,52.2
20111009,42.3
20111010,60.1
20111011,74.8
20111012,70.9
20111013,64.7
20111014,62.9
20111015,60.3
20111016,56
20111017,50.2
20111018,53.1
20111019,53.9
20111020,46.3
20111021,40.7
20111022,48.3
20111023,52.3
20111024,50.5
20111025,71.9
20111026,87.3
20111027,73.2
20111028,30.9
20111029,42
20111030,67.6
20111031,80.4
20111101,46.1
20111102,39.4
20111103,44.5
20111104,38.7
20111105,33.4
20111106,37.2
20111107,74
20111108,84.2
20111109,28.7
20111110,47.5
20111111,95
20111112,131
20111113,133
20111114,138
20111115,137
20111116,120
20111117,107
20111118,107
20111119,108
20111120,99
20111121,83.8
20111122,70.3
20111123,65.8
20111124,65
20111125,55.1
20111126,46.8
20111127,46.1
20111128,51.2
20111129,56.8
20111130,60.7
20111201,64.3
20111202,67.6
20111203,76.5
20111204,108
20111205,156
20111206,176
20111207,174
20111208,167
20111209,157
20111210,141
20111211,129
20111212,136
20111213,139
20111214,131
20111215,119
20111216,109
20111217,102
20111218,87.6
20111219,70.5
20111220,89
20111221,145
20111222,111
20111223,65.2
20111224,62.4
20111225,66.3
20111226,46.2
20111227,37.5
20111228,38.5
20111229,34
20111230,26.8
20111231,26.5
20120101,34.5
20120102,29.7
20120103,20.8
20120104,18.4
20120105,17.5
20120106,17.4
20120107,17.4
20120108,18.9
20120109,36.2
20120110,56.1
20120111,42.3
20120112,35.8
20120113,35.6
20120114,36.4
20120115,34.3
20120116,27.2
20120117,20
20120118,17.3
20120119,17.1
20120120,18
20120121,21
20120122,29.4
20120123,36.1
20120124,36.1
20120125,33.3
20120126,33.3
20120127,34.8
20120128,32.1
20120129,26.8
20120130,21.2
20120131,16.7
20120201,14
20120202,14.8
20120203,16.9
20120204,18.5
20120205,19.7
20120206,20.3
20120207,20.1
20120208,19.1
20120209,18.6
20120210,19.2
20120211,47.3
20120212,83.9
20120213,56.2
20120214,24.6
20120215,14.1
20120216,11.2
20120217,10.5
20120218,10.3
20120219,10.7
20120220,13.8
20120221,18.2
20120222,19.6
20120223,16.8
20120224,15.7
20120225,17.2
20120226,19.6
20120227,22.5
20120228,25.7
20120229,29.8
20120301,33.9
20120302,34.9
20120303,32.9
20120304,29.3
20120305,23.3
20120306,17
20120307,19.9
20120308,29.6
20120309,38.4
20120310,42.7
20120311,41.6
20120312,36.7
20120313,29.5
20120314,25.2
20120315,23.5
20120316,21.2
20120317,18.1
20120318,15.3
20120319,18.3
20120320,27.5
20120321,38.6
20120322,48.5
20120323,55.8
20120324,55.3
20120325,49
20120326,55.1
20120327,70.5
20120328,75.3
20120329,76.7
20120330,78
20120331,80.9
20120401,84.1
20120402,84.2
20120403,82.2
20120404,78.1
20120405,67.7
20120406,52
20120407,43.6
20120408,45.3
20120409,51.4
20120410,59.7
20120411,68.7
20120412,72.9
20120413,70.2
20120414,60.6
20120415,47.7
20120416,39.7
20120417,36.3
20120418,38.8
20120419,43.9
20120420,47.3
20120421,48.9
20120422,50.4
20120423,55
20120424,61.7
20120425,65.7
20120426,62.9
20120427,53.9
20120428,47.2
20120429,48.6
20120430,52.5
20120501,47.2
20120502,31.6
20120503,35.1
20120504,43.3
20120505,39.8
20120506,30.7
20120507,36.2
20120508,49.1
20120509,49.7
20120510,45.6
20120511,44.9
20120512,46.3
20120513,43.6
20120514,37
20120515,34.8
20120516,36.2
20120517,34.5
20120518,29.5
20120519,25.8
20120520,23
20120521,21.2
20120522,20.5
20120523,20.7
20120524,21.7
20120525,22.6
20120526,22.8
20120527,22.4
20120528,21.3
20120529,19.5
20120530,17.8
20120531,18.4
20120601,20.9
20120602,24.7
20120603,29.3
20120604,33.1
20120605,31.6
20120606,26.1
20120607,21.7
20120608,27.3
20120609,31.8
20120610,28.6
20120611,21.5
20120612,19.1
20120613,18.6
20120614,15.8
20120615,14
20120616,23.8
20120617,33.7
20120618,29.9
20120619,28.4
20120620,29.2
20120621,29.7
20120622,26.2
20120623,25.4
20120624,23.7
20120625,20.3
20120626,16.1
20120627,14.9
20120628,11.2
20120629,8.18
20120630,11.3
20120701,10.7
20120702,9.55
20120703,12.3
