省份,等级,地理分区,城市,City_en,Province_en
北京市,1,华北,北京市,Beijing,Beijing
重庆市,1,西南,重庆市,Chongqing,Chongqing
澳门,1,华南,澳门特别行政区,Macau,Macau  
上海市,1,华东,上海市,Shanghai,Shanghai
天津市,1,华北,天津市,Tianjin,Tianjin
香港,1,华南,香港特别行政区,Hong kong,Hong kong
吉林省,2,东北,长春市,Changchun,Jilin
四川省,2,西南,成都市,Chengdu,Sichuan
辽宁省,2,东北,大连市,Dalian,Liaoning
广东省,2,华南,广州市,Guangzhou,Guangdong
浙江省,2,华东,杭州市,Hangzhou,Zhejiang
黑龙江省,2,东北,哈尔滨市,Harbin,Heilongjiang
山东省,2,华东,济南市,Jinan,Shandong
江苏省,2,华东,南京市,Nanjing,Jiangsu
浙江省,2,华东,宁波市,Ningbo,Zhejiang
山东省,2,华东,青岛市,Qingdao,Shandong
辽宁省,2,东北,沈阳市,Shenyang,Liaoning
广东省,2,华南,深圳市,Shenzhen,Guangdong
湖北省,2,华中,武汉市,Wuhan,Hubei
陕西省,2,西北,西安市,Xi’an,Shaanxi
福建省,2,华东,厦门市,Xiamen,Fujian
辽宁省,3,东北,鞍山市,Anshan,Liaoning
内蒙古自治区,3,华北,包头市,Baotou,Inner Mongolia
辽宁省,3,东北,本溪市,Benxi,Liaoning
湖南省,3,华中,长沙市,Changsha,Hunan
山西省,3,华北,大同市,Datong,Shanxi
辽宁省,3,东北,抚顺市,Fushun,Liaoning
福建省,3,华东,福州市,Fuzhou(Min),Fujian
贵州省,3,西南,贵阳市,Guiyang,Guizhou
海南省,3,华南,海口市,Haikou,Hainan
河北省,3,华北,邯郸市,Handan,Hebei
安徽省,3,华东,合肥市,Hefei,Anhui
内蒙古自治区,3,华北,呼和浩特市,Hohhot ,Inner Mongolia
安徽省,3,华东,淮南市,Huainan,Anhui
吉林省,3,东北,吉林市,Jilin,Jilin
云南省,3,西南,昆明市,Kunming,Yunnan
甘肃省,3,西北,兰州市,Lanzhou,Gansu
西藏自治区,3,西南,拉萨市,Lhasa,Tibet
河南省,3,华中,洛阳市,Luoyang,Henan
江西省,3,华中,南昌市,Nanchang,Jiangxi
广西壮族自治区,3,华南,南宁市,Naning,Guangxi
黑龙江省,3,东北,齐齐哈尔市,Qiqihar,Heilongjiang
河北省,3,华北,石家庄市,Shijiazhuang,Hebei
江苏省,3,华东,苏州市,Suzhou(Su) ,Jiangsu
山西省,3,华北,太原市,Taiyuan,Shanxi
河北省,3,华北,唐山市,Tangshan,Hebei
新疆维吾尔自治区,3,西北,乌鲁木齐市,Urumqi,Xinjiang
江苏省,3,华东,无锡市,Wuxi,Jiangsu
青海省,3,西北,西宁市,Xining,Qinghai
江苏省,3,华东,徐州市,Xuzhou,Jiangsu
宁夏回族自治区,3,西北,银川市,Yinchuan,Ningxia
河南省,3,华中,郑州市,Zhengzhou,Henan
山东省,3,华东,淄博市,Zibo,Shandong
四川省,4,西南,阿坝藏族羌族自治州,Ngawa,Sichuan
新疆维吾尔自治区,4,西北,阿克苏地区,Aksu,Xinjiang
西藏自治区,4,西南,阿里地区,Ngari,Tibet
新疆维吾尔自治区,4,西北,阿勒泰地区,Altay,Xinjiang
内蒙古自治区,4,华北,阿拉善盟,Alxa,Inner Mongolia
陕西省,4,西北,安康市,Ankang,Shaanxi
安徽省,4,华东,安庆市,Anqing,Anhui
贵州省,4,西南,安顺市,Anshun,Guizhou
河南省,4,华中,安阳市,Anyang,Henan
吉林省,4,东北,白城市,Baicheng,Jilin
广西壮族自治区,4,华南,百色市,Baise,Guangxi
海南省,4,华南,白沙黎族自治县,Baisha,Hainan
吉林省,4,东北,白山市,Baishan,Jilin
甘肃省,4,西北,白银市,Baiyin,Gansu
河北省,4,华北,保定市,Baoding,Hebei
陕西省,4,西北,宝鸡市,Baoji,Shaanxi
云南省,4,西南,保山市,Baoshan,Yunnan
海南省,4,华南,保亭黎族苗族自治县,Baoting,Hainan
内蒙古自治区,4,华北,巴彦淖尔市,Bayannur,Inner Mongolia
新疆维吾尔自治区,4,西北,巴音郭楞蒙古自治州,Bayingolin,Xinjiang
四川省,4,西南,巴中市,Bazhong,Sichuan
广西壮族自治区,4,华南,北海市,Beihai,Guangxi
安徽省,4,华东,蚌埠市,Bengbu,Anhui
贵州省,4,西南,毕节市,Bijie,Guizhou
山东省,4,华东,滨州市,Binzhou,Shandong
新疆维吾尔自治区,4,西北,博尔塔拉蒙古自治州,Bortala,Xinjiang
安徽省,4,华东,亳州市,Bozhou,Anhui
河北省,4,华北,沧州市,Cangzhou,Hebei
湖南省,4,华中,常德市,Changde,Hunan
新疆维吾尔自治区,4,西北,昌吉回族自治州,Changji,Xinjiang
海南省,4,华南,昌江黎族自治县,Changjiang,Hainan
山西省,4,华北,长治市,Changzhi,Shanxi
江苏省,4,华东,常州市,Changzhou,Jiangsu
辽宁省,4,东北,朝阳市,Chaoyang,Liaoning
广东省,4,华南,潮州市,Chaozhou,Guangdong
河北省,4,华北,承德市,Chengde,Hebei
海南省,4,华南,澄迈县,Chengmai,Hainan
湖南省,4,华中,郴州市,Chenzhou,Hunan
内蒙古自治区,4,东北,赤峰市,Chifeng,Inner Mongolia
安徽省,4,华东,池州市,Chizhou,Anhui
广西壮族自治区,4,华南,崇左市,Chongzuo,Guangxi
云南省,4,西南,楚雄彝族自治州,Chuxiong,Yunnan
安徽省,4,华东,滁州市,Chuzhou,Anhui
云南省,4,西南,大理白族自治州,Dali,Yunnan
辽宁省,4,东北,丹东市,Dandong,Liaoning
海南省,4,华南,儋州市,Danzhou,Hainan
黑龙江省,4,东北,大庆市,Daqing,Heilongjiang
黑龙江省,4,东北,大兴安岭地区,Dahingganling,Heilongjiang
四川省,4,西南,达州市,Dazhou,Sichuan
云南省,4,西南,德宏傣族景颇族自治州,Dehong,Yunnan
四川省,4,西南,德阳市,Deyang,Sichuan
山东省,4,华东,德州市,Dezhou,Shandong
海南省,4,华南,定安县,Ding’an,Hainan
甘肃省,4,西北,定西市,Dingxi,Gansu
河北省,4,华北,定州市,Dingzhou,Hebei
云南省,4,西南,迪庆藏族自治州,Diqing,Yunnan
海南省,4,华南,东方市,Dongfang,Hainan
广东省,4,华南,东莞市,Dongguan,Guangdong
山东省,4,华东,东营市,Dongying,Shandong
湖北省,4,华中,恩施土家族苗族自治州,Enshi,Hubei
湖北省,4,华中,鄂州市,Ezhou,Hubei
广西壮族自治区,4,华南,防城港市,Fangchenggang,Guangxi
广东省,4,华南,佛山市,Foshan,Guangdong
辽宁省,4,东北,阜新市,Fuxin,Liaoning
安徽省,4,华东,阜阳市,Fuyang,Anhui
江西省,4,华中,抚州市,Fuzhou(Gan),Jiangxi
甘肃省,4,西北,甘南藏族自治州,Gannan,Gansu
江西省,4,华中,赣州市,Ganzhou,Jiangxi
四川省,4,西南,甘孜藏族自治州,Garze,Sichuan
青海省,4,西北,果洛藏族自治州,Golog,Qinghai
四川省,4,西南,广安市,Guang’an,Sichuan
四川省,4,西南,广元市,Guangyuan,Sichuan
广西壮族自治区,4,华南,贵港市,Guigang,Guangxi
广西壮族自治区,4,华南,桂林市,Guilin,Guangxi
宁夏回族自治区,4,西北,固原市,Guyuan,Ningxia
青海省,4,西北,海北藏族自治州,Haibei,Qinghai
青海省,4,西北,海东市,Haidong,Qinghai
青海省,4,西北,海南藏族自治州,Hainan,Qinghai
青海省,4,西北,海西蒙古族藏族自治州,Haixi,Qinghai
新疆维吾尔自治区,4,西北,哈密地区,Hami,Xinjiang
陕西省,4,西北,汉中市,Hanzhong,Shaanxi
河南省,4,华中,鹤壁市,Hebi,Henan
广西壮族自治区,4,华南,河池市,Hechi,Guangxi
黑龙江省,4,东北,鹤岗市,Hegang,Heilongjiang
黑龙江省,4,东北,黑河市,Heihe,Heilongjiang
河北省,4,华北,衡水市,Hengshui,Hebei
湖南省,4,华中,衡阳市,Hengyang,Hunan
广东省,4,华南,河源市,Heyuan,Guangdong
山东省,4,华东,菏泽市,Heze,Shandong
广西壮族自治区,4,华南,贺州市,Hezhou,Guangxi
内蒙古自治区,4,华北,兴安盟,Hinggan,Inner Mongolia
云南省,4,西南,红河哈尼族彝族自治州,Honghe,Yunnan
新疆维吾尔自治区,4,西北,和田地区,Hotan,Xinjiang
江苏省,4,华东,淮安市,Huai’an,Jiangsu
安徽省,4,华东,淮北市,Huaibei,Anhui
湖南省,4,华中,怀化市,Huaihua,Hunan
湖北省,4,华中,黄冈市,Huanggang,Hubei
青海省,4,西北,黄南藏族自治州,Huangnan,Qinghai
安徽省,4,华东,黄山市,Huangshan,Anhui
湖北省,4,华中,黄石市,Huangshi,Hubei
广东省,4,华南,惠州市,Huizhou,Guangdong
辽宁省,4,东北,葫芦岛市,Huludao,Liaoning
内蒙古自治区,4,东北,呼伦贝尔市,Hulunbuir,Inner Mongolia
浙江省,4,华东,湖州市,Huzhou,Zhejiang
新疆维吾尔自治区,4,西北,伊犁哈萨克自治州,Ili,Xinjiang
黑龙江省,4,东北,佳木斯市,Jiamusi,Heilongjiang
江西省,4,华中,吉安市,Ji’an,Jiangxi
广东省,4,华南,江门市,Jiangmen,Guangdong
河南省,4,华中,焦作市,Jiaozuo,Henan
浙江省,4,华东,嘉兴市,Jiaxing,Zhejiang
甘肃省,4,西北,嘉峪关市,Jiayuguan,Gansu
广东省,4,华南,揭阳市,Jieyang,Guangdong
甘肃省,4,西北,金昌市,Jinchang,Gansu
山西省,4,华北,晋城市,Jincheng,Shanxi
江西省,4,华中,景德镇市,Jingdezhen,Jiangxi
浙江省,4,华东,金华市,Jinhua,Zhejiang
湖北省,4,华中,荆门市,Jingmen,Hubei
湖北省,4,华中,荆州市,Jingzhou,Hubei
山东省,4,华东,济宁市,Jining,Shandong
山西省,4,华北,晋中市,Jinzhong,Shanxi
辽宁省,4,东北,锦州市,Jinzhou,Liaoning
江西省,4,华中,九江市,Jiujiang,Jiangxi
甘肃省,4,西北,酒泉市,Jiuquan,Gansu
黑龙江省,4,东北,鸡西市,Jixi,Heilongjiang
河南省,4,华中,济源市,Jiyuan,Henan
河南省,4,华中,开封市,Kaifeng,Henan
新疆维吾尔自治区,4,西北,克拉玛依市,Karamay,Xinjiang
新疆维吾尔自治区,4,西北,喀什地区,Kashgar,Xinjiang
新疆维吾尔自治区,4,西北,克孜勒苏柯尔克孜自治州,Kizilsu Kirghiz,Xinjiang
广西壮族自治区,4,华南,来宾市,Laibin,Guangxi
河北省,4,华北,廊坊市,Langfang,Hebei
海南省,4,华南,乐东黎族自治县,Ledong,Hainan
四川省,4,西南,乐山市,Leshan,Sichuan
四川省,4,西南,凉山彝族自治州,Liangshan,Sichuan
江苏省,4,华东,连云港市,Lianyungang,Jiangsu
山东省,4,华东,聊城市,Liaocheng,Shandong
辽宁省,4,东北,辽阳市,Liaoyang,Liaoning
吉林省,4,东北,辽源市,Liaoyuan,Jilin
云南省,4,西南,丽江市,Lijiang,Yunnan
云南省,4,西南,临沧市,Lincang,Yunnan
山西省,4,华北,临汾市,Linfen,Shanxi
海南省,4,华南,临高县,Lingao,Hainan
海南省,4,华南,陵水黎族自治县,Lingshui,Hainan
甘肃省,4,西北,临夏回族自治州,Linxia,Gansu
山东省,4,华东,临沂市,Linyi,Shandong
西藏自治区,4,西南,林芝地区,Nyingchi,Tibet
浙江省,4,华东,丽水市,Lishui,Zhejiang
贵州省,4,西南,六盘水市,Liupanshui,Guizhou
广西壮族自治区,4,华南,柳州市,Liuzhou,Guangxi
甘肃省,4,西北,陇南市,Longnan,Gansu
福建省,4,华东,龙岩市,Longyan,Fujian
湖南省,4,华中,娄底市,Loudi,Hunan
安徽省,4,华东,六安市,Lu'an,Anhui
河南省,4,华中,漯河市,Luohe,Henan
四川省,4,西南,泸州市,Luzhou,Sichuan
山西省,4,华北,吕梁市,Lvliang,Shanxi
安徽省,4,华东,马鞍山市,Ma’anshan,Anhui
广东省,4,华南,茂名市,Maoming,Guangdong
四川省,4,西南,眉山市,Meishan,Sichuan
广东省,4,华南,梅州市,Meizhou,Guangdong
四川省,4,西南,绵阳市,Mianyang,Sichuan
黑龙江省,4,东北,牡丹江市,Mudanjiang,Heilongjiang
西藏自治区,4,西南,那曲地区,Nagqu,Tibet
四川省,4,西南,南充市,Nanchong,Sichuan
福建省,4,华东,南平市,Nanping,Fujian
江苏省,4,华东,南通市,Nantong,Jiangsu
河南省,4,华中,南阳市,Nanyang,Henan
四川省,4,西南,内江市,Neijiang,Sichuan
福建省,4,华东,宁德市,Ningde,Fujian
云南省,4,西南,怒江傈僳族自治州,Nujiang,Yunnan
内蒙古自治区,4,华北,鄂尔多斯市,Ordos,Inner Mongolia
辽宁省,4,东北,盘锦市,Panjin,Liaoning
四川省,4,西南,攀枝花市,Panzhihua,Sichuan
河南省,4,华中,平顶山市,Pingdingshan,Henan
甘肃省,4,西北,平凉市,Pingliang,Gansu
江西省,4,华中,萍乡市,Pingxiang,Jiangxi
云南省,4,西南,普洱市,Pu'er,Yunnan
福建省,4,华东,莆田市,Putian,Fujian
河南省,4,华中,濮阳市,Puyang,Henan
西藏自治区,4,西南,昌都地区,Qamdo,Tibet
贵州省,4,西南,黔东南苗族侗族自治州,Qiandongnan,Guizhou
湖北省,4,华中,潜江市,Qianjiang,Hubei
贵州省,4,西南,黔南布依族苗族自治州,Qiannan,Guizhou
贵州省,4,西南,黔西南布依族苗族自治州,Qianxinan,Guizhou
甘肃省,4,西北,庆阳市,Qingyang,Gansu
广东省,4,华南,清远市,Qingyuan,Guangdong
河北省,4,华北,秦皇岛市,Qinhuangdao,Hebei
广西壮族自治区,4,华南,钦州市,Qinzhou,Guangxi
海南省,4,华南,琼海市,Qionghai,Hainan
海南省,4,华南,琼中黎族苗族自治县,Qiongzhong,Hainan
黑龙江省,4,东北,七台河市,Qitaihe,Heilongjiang
福建省,4,华东,泉州市,Quanzhou,Fujian
云南省,4,西南,曲靖市,Qujing,Yunnan
浙江省,4,华东,衢州市,Quzhou,Zhejiang
西藏自治区,4,西南,日喀则市,Shigatse,Tibet
山东省,4,华东,日照市,Rizhao,Shandong
河南省,4,华中,三门峡市,Sanmenxia,Henan
福建省,4,华东,三明市,Sanming,Fujian
海南省,4,华南,三沙市,Sansha,Hainan
海南省,4,华南,三亚市,Sanya,Hainan
陕西省,4,西北,商洛市,Shangluo,Shaanxi
河南省,4,华中,商丘市,Shangqiu,Henan
江西省,4,华中,上饶市,Shangrao,Jiangxi
西藏自治区,4,西南,山南地区,Shannan,Tibet
广东省,4,华南,汕头市,Shantou,Guangdong
广东省,4,华南,汕尾市,Shanwei,Guangdong
广东省,4,华南,韶关市,Shaoguan,Guangdong
浙江省,4,华东,绍兴市,Shaoxing,Zhejiang
湖南省,4,华中,邵阳市,Shaoyang,Hunan
湖北省,4,华南,神农架林区,Shennongjia,Hubei
湖北省,4,华中,十堰市,Shiyan,Hubei
宁夏回族自治区,4,西北,石嘴山市,Shizuishan,Ningxia
黑龙江省,4,东北,双鸭山市,Shuangyashan,Heilongjiang
山西省,4,华北,朔州市,Shuozhou,Shanxi
吉林省,4,东北,四平市,Siping,Jilin
黑龙江省,4,东北,松原市,Songyuan,Heilongjiang
黑龙江省,4,东北,绥化市,Suihua,Heilongjiang
四川省,4,西南,遂宁市,Suining,Sichuan
湖北省,4,华中,随州市,Suizhou,Hubei
江苏省,4,华东,宿迁市,Suqian,Jiangsu
安徽省,4,华东,宿州市,Suzhou(Wan),Anhui
新疆维吾尔自治区,4,西北,塔城地区,Tacheng,Xinjiang
山东省,4,华东,泰安市,Tai’an,Shandong
江苏省,4,华东,泰州市,Taizhou(Su),Jiangsu
浙江省,4,华东,台州市,Taizhou(Zhe),Zhejiang
湖北省,4,华中,天门市,Tianmen,Hubei
甘肃省,4,西北,天水市,Tianshui,Gansu
辽宁省,4,东北,铁岭市,Tieling,Liaoning
陕西省,4,西北,铜川市,Tongchuan,Shaanxi
吉林省,4,东北,通化市,Tonghua,Jilin
内蒙古自治区,4,东北,通辽市,Tongliao,Inner Mongolia
安徽省,4,华东,铜陵市,Tongling,Anhui
贵州省,4,西南,铜仁市,Tongren,Guizhou
新疆维吾尔自治区,4,西北,吐鲁番地区,Tulufan,Xinjiang
海南省,4,华南,屯昌县,Tunchang,Hainan
内蒙古自治区,4,华北,乌兰察布市,Ulanqab,Inner Mongolia
海南省,4,华南,万宁市,Wanning,Hainan
山东省,4,华东,潍坊市,Weifang,Shandong
山东省,4,华东,威海市,Weihai,Shandong
陕西省,4,西北,渭南市,Weinan,Shaanxi
海南省,4,华南,文昌市,Wenchang,Hainan
云南省,4,西南,文山壮族苗族自治州,Wenshan,Yunnan
浙江省,4,华东,温州市,Wenzhou,Zhejiang
内蒙古自治区,4,华北,乌海市,Wuhai,Inner Mongolia
安徽省,4,华东,芜湖市,Wuhu,Anhui
甘肃省,4,西北,武威市,Wuwei,Gansu
海南省,4,华南,五指山市,Wuzhishan,Hainan
宁夏回族自治区,4,西北,吴忠市,Wuzhong,Ningxia
广西壮族自治区,4,华南,梧州市,Wuzhou,Guangxi
湖南省,4,华中,湘潭市,Xiangtan,Hunan
湖南省,4,华中,湘西土家族苗族自治州,Xiangxi,Hunan
湖北省,4,华中,襄阳市,Xiangyang,Hubei
湖北省,4,华中,咸宁市,Xianning,Hubei
湖北省,4,华中,仙桃市,Xiantao,Hubei
陕西省,4,西北,咸阳市,Xianyang,Shaanxi
湖北省,4,华中,孝感市,Xiaogan,Hubei
内蒙古自治区,4,东北,锡林郭勒盟,Xilingol,Inner Mongolia
河北省,4,华北,邢台市,Xingtai,Hebei
河北省,4,华北,辛集市,Xinji,Hebei
新疆维吾尔自治区,4,西北,新疆生产建设兵团,Xinjiang Production and Construction Corps,Xinjiang
河南省,4,华中,新乡市,Xinxiang,Henan
河南省,4,华中,信阳市,Xinyang,Henan
江西省,4,华中,新余市,Xinyu,Jiangxi
山西省,4,华北,忻州市,Xinzhou,Shanxi
河北省,4,华北,雄安新区,Xiong'an,Hebei
云南省,4,西南,西双版纳傣族自治州,Xishuangbanna,Yunnan
安徽省,4,华东,宣城市,Xuancheng,Anhui
河南省,4,华中,许昌市,Xuchang,Henan
四川省,4,西南,雅安市,Ya’an,Sichuan
陕西省,4,西北,延安市,Yanan,Shaanxi
吉林省,4,东北,延边朝鲜族自治州,Yanbian,Jilin
江苏省,4,华东,盐城市,Yancheng,Jiangsu
广东省,4,华南,阳江市,Yangjiang,Guangdong
山西省,4,华北,阳泉市,Yangquan,Shanxi
江苏省,4,华东,扬州市,Yangzhou,Jiangsu
山东省,4,华东,烟台市,Yantai,Shandong
四川省,4,西南,宜宾市,Yibin,Sichuan
湖北省,4,华中,宜昌市,Yichang,Hubei
江西省,4,华中,宜春市,Yichun(Gan),Jiangxi
黑龙江省,4,东北,伊春市,Yichun(Hei),Heilongjiang
辽宁省,4,东北,营口市,Yingkou,Liaoning
江西省,4,华中,鹰潭市,Yingtan,Jiangxi
湖南省,4,华中,益阳市,Yiyang,Hunan
湖南省,4,华中,永州市,Yongzhou,Hunan
湖南省,4,华中,岳阳市,Yueyang,Hunan
广西壮族自治区,4,华南,玉林市,Yulin(Gui),Guangxi
陕西省,4,西北,榆林市,Yulin(Qin),Shaanxi
山西省,4,华北,运城市,Yuncheng,Shanxi
广东省,4,华南,云浮市,Yunfu,Guangdong
青海省,4,西北,玉树藏族自治州,Yushu,Qinghai
云南省,4,西南,玉溪市,Yuxi,Yunnan
山东省,4,华东,枣庄市,Zaozhuang,Shandong
湖南省,4,华中,张家界市,Zhangjiajie,Hunan
河北省,4,华北,张家口市,Zhangjiakou,Hebei
甘肃省,4,西北,张掖市,Zhangye,Gansu
福建省,4,华东,漳州市,Zhangzhou,Fujian
广东省,4,华南,湛江市,Zhanjiang,Guangdong
广东省,4,华南,肇庆市,Zhaoqing,Guangdong
云南省,4,西南,昭通市,Zhaotong,Yunnan
江苏省,4,华东,镇江市,Zhenjiang,Jiangsu
广东省,4,华南,中山市,Zhongshan,Guangdong
甘肃省,4,西北,中卫市,Zhongwei,Gansu
河南省,4,华中,周口市,Zhoukou,Henan
浙江省,4,华东,舟山市,Zhoushan,Zhejiang
广东省,4,华南,珠海市,Zhuhai,Guangdong
河南省,4,华中,驻马店市,Zhumadian,Henan
湖南省,4,华中,株洲市,Zhuzhou,Hunan
四川省,4,西南,自贡市,Zigong,Sichuan
四川省,4,西南,资阳市,Ziyang,Sichuan
贵州省,4,西南,遵义市,Zunyi,Guizhou
